Business ID,Fiscal Year,Department,Support Program,Race or Ethnicity of Recipient,Zipcode,New Georeferenced Column
529,2021,Economic Development (EDD),Education & Coaching,White,78746,POINT (-97.80785 30.293201)
376,2021,Economic Development (EDD),Education & Coaching,,78759,POINT (-97.753727 30.40316)
1116,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78704,POINT (-97.76448 30.243217)
3489,2022,Economic Development,Education & Coaching,White,78701,POINT (-97.741791 30.271191)
924,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78741,POINT (-97.716971 30.227985)
739,2019,Economic Development (EDD),Small Business Education & Coaching,,78744,POINT (-97.738673 30.186349)
2145,2019,Economic Development (EDD),Music & Entertainment Business Development,,,
V00000941578,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic or Latino,78734,POINT (-97.952751 30.377001)
2304,2020,Economic Development (EDD),Small Business Education & Coaching,,,
V00000919268,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic or Latino,77040,POINT (-95.530647 29.875076)
V00000971064,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78653,POINT (-97.531473 30.345865)
VS0000029061,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78701,POINT (-97.741791 30.271191)
2639,2020,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78254,POINT (-98.704841 29.527208)
V00000958076,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78665,POINT (-97.643704 30.542117)
4092,2022,Economic Development,Education & Coaching,Hispanic or Latino,78749,POINT (-97.859448 30.213975)
875,2021,Economic Development (EDD),Education & Coaching,Hispanic or Latino,78745,POINT (-97.798214 30.206782)
665,2020,Economic Development (EDD),Music & Entertainment Business Development,,,
3504,2022,Economic Development,Education & Coaching,Asian,78705,POINT (-97.737978 30.292467)
1813,2021,Economic Development (EDD),Industry Sector Development,Prefer not to answer,,
VC0000101862,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic or Latino,78737,POINT (-97.964749 30.193369)
967,2021,Economic Development (EDD),Industry Sector Development,White,76542,POINT (-97.727315 31.03833)
425,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
2682,2020,Economic Development (EDD),Industry Sector Development,,,
1973,2020,Economic Development (EDD),Small Business Education & Coaching,,,
84,2019,Economic Development (EDD),Small Business Education & Coaching,,78704,POINT (-97.76448 30.243217)
186,2020,Economic Development (EDD),Cultural Arts Grantmaking,White,78721,POINT (-97.683892 30.270568)
4424,2022,Economic Development,Education & Coaching,White,78703,POINT (-97.763975 30.291285)
1838,2021,Economic Development (EDD),Education and Coaching,Prefer not to answer,78626,POINT (-97.626751 30.652583)
1601,2019,Economic Development (EDD),Cultural Arts Grantmaking,Prefer not to answer,78702,POINT (-97.71608 30.264271)
V00000947377,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78744,POINT (-97.738673 30.186349)
2597,2020,Economic Development (EDD),Public Art & Placemaking,Black or African American,78759,POINT (-97.753727 30.40316)
1939,2020,Economic Development (EDD),Small Business Education & Coaching,,,
2106,2021,Economic Development (EDD),Industry Sector Development,,,
VC0000103459,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78714,POINT (-97.746598 30.264979)
1545,2020,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78653,POINT (-97.531473 30.345865)
V00000968010,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78741,POINT (-97.716971 30.227985)
704,2019,Economic Development (EDD),Small Business Education & Coaching,,78728,POINT (-97.682765 30.450836)
3301,2022,Economic Development,Education & Coaching,White,78703,POINT (-97.763975 30.291285)
1233,2021,Economic Development (EDD),Education and Coaching,White,78705,POINT (-97.737978 30.292467)
1710,2021,Economic Development (EDD),Industry Sector Development,,,
73,2021,Economic Development (EDD),Music & Entertainment Business Development,Hispanic or Latino,,
209,2019,Economic Development (EDD),Small Business Education & Coaching,,78759,POINT (-97.753727 30.40316)
986,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78741,POINT (-97.716971 30.227985)
47,2019,Economic Development (EDD),Small Business Education & Coaching,,78721,POINT (-97.683892 30.270568)
JAS2584500,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,78741,POINT (-97.716971 30.227985)
VS0000029784,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78735,POINT (-97.858036 30.256502)
564,2021,Economic Development (EDD),Cultural Arts Grantmaking,White,78704,POINT (-97.76448 30.243217)
3194,2022,Economic Development,Public Art & Placemaking,Black or African American,78702,POINT (-97.71608 30.264271)
VS0000006524,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,78734,POINT (-97.952751 30.377001)
1005,2021,Economic Development (EDD),Cultural Arts Grantmaking,,,
1566,2021,Economic Development (EDD),Education & Coaching,White,78738,POINT (-97.977713 30.319988)
2014,2019,Economic Development (EDD),Business Development,,,
511,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
V00000958206,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78758,POINT (-97.706726 30.384311)
1945,2020,Economic Development (EDD),Small Business Education & Coaching,Prefer not to answer,,
V00000954418,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,78723,POINT (-97.686715 30.30723)
687,2021,Economic Development (EDD),Education & Coaching,,,
806,2020,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78223,POINT (-98.415734 29.334983)
2139,2020,Economic Development (EDD),Cultural Arts Grantmaking,White,78613,POINT (-97.824803 30.503628)
1517,2021,Economic Development (EDD),Education & Coaching,Black or African American,,
149,2019,Economic Development (EDD),Small Business Education & Coaching,,78745,POINT (-97.798214 30.206782)
2412,2021,Economic Development (EDD),Cultural Arts Grantmaking,,,
V00000916305,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,76060,POINT (-97.211803 32.643065)
941,2020,Economic Development (EDD),Small Business Education & Coaching,,,
V00000947407,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic or Latino,78744,POINT (-97.738673 30.186349)
1650,2020,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78620,POINT (-98.119536 30.223679)
4243,2022,Economic Development,Education & Coaching,White,78733,POINT (-97.871484 30.327345)
3930,2022,Economic Development,Education & Coaching,White,78722,POINT (-97.715708 30.290465)
1070,2019,Economic Development (EDD),Small Business Education & Coaching,,78704,POINT (-97.76448 30.243217)
V00000936118,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Caucasian,78664,POINT (-97.651252 30.505358)
2377,2020,Economic Development (EDD),Small Business Education & Coaching,White,75088,POINT (-96.546576 32.89457)
2669,2020,Economic Development (EDD),Small Business Education & Coaching,White,,
75,2021,Economic Development (EDD),Education & Coaching,Hispanic or Latino,11372,POINT (-73.883959 40.751948)
4116,2022,Economic Development,Education & Coaching,Prefer not to answer,78722,POINT (-97.715708 30.290465)
784,2019,Economic Development (EDD),Small Business Education & Coaching,,78704,POINT (-97.76448 30.243217)
VS0000007176,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,78734,POINT (-97.952751 30.377001)
1151,2019,Economic Development (EDD),Small Business Education & Coaching,,78704,POINT (-97.76448 30.243217)
1413,2021,Economic Development (EDD),Education & Coaching,,78612,POINT (-97.490084 30.096312)
V00000965122,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Black or African American,78725,POINT (-97.615386 30.242394)
V00000978276,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78681,POINT (-97.718684 30.519443)
2807,2020,Economic Development (EDD),Small Business Education & Coaching,White,91006,POINT (-118.029184 34.135112)
586,2020,Economic Development (EDD),Historic Preservation Fund Grants,,,
V00000930870,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Black or African American,78717,POINT (-97.765813 30.492639)
3973,2022,Economic Development,Education & Coaching,Black or African American,78741,POINT (-97.716971 30.227985)
161,2020,Economic Development (EDD),Cultural Arts Grantmaking,,78733,POINT (-97.871484 30.327345)
1139,2019,Economic Development (EDD),Small Business Education & Coaching,,78728,POINT (-97.682765 30.450836)
839,2021,Economic Development (EDD),Education & Coaching,White,18541,
547,2019,Economic Development (EDD),Small Business Education & Coaching,White,78734,POINT (-97.952751 30.377001)
1706,2020,Economic Development (EDD),Small Business Education & Coaching,,,
IHS8315176,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Black or African American,78704,POINT (-97.76448 30.243217)
3066,2020,Economic Development (EDD),Small Business Education & Coaching,,,
3809,2022,Economic Development,Education & Coaching,White,78731,POINT (-97.765626 30.345658)
V00000905169,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78205,POINT (-98.48749 29.425309)
1280,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78726,POINT (-97.838431 30.431233)
354,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
770,2020,Economic Development (EDD),Small Business Education & Coaching,White,78704,POINT (-97.76448 30.243217)
201,2021,Economic Development (EDD),Music & Entertainment Business Development,White,,
3086,2020,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,76053,POINT (-97.181293 32.81938)
2221,2019,Economic Development (EDD),Music & Entertainment Business Development,,,
146,2021,Economic Development (EDD),Cultural Arts Grantmaking,,,
VC0000102926,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78729,POINT (-97.767067 30.454447)
V00000971220,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78756,POINT (-97.740236 30.321553)
257,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
1479,2019,Economic Development (EDD),Cultural Arts Grantmaking,,78738,POINT (-97.977713 30.319988)
VS0000019943,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,75207,POINT (-96.821471 32.78712)
1923,2020,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78728,POINT (-97.682765 30.450836)
1605,2021,Economic Development (EDD),Education & Coaching,White,78748,POINT (-97.825259 30.166107)
5,2021,Economic Development (EDD),Education and Coaching,White,78721,POINT (-97.683892 30.270568)
3549,2022,Economic Development,Education & Coaching,White,78749,POINT (-97.859448 30.213975)
453,2019,Economic Development (EDD),Small Business Education & Coaching,,,
863,2020,Economic Development (EDD),Small Business Education & Coaching,Multi Race or Ethnicity,78613,POINT (-97.824803 30.503628)
3419,2022,Economic Development,Education & Coaching,Prefer not to answer,78721,POINT (-97.683892 30.270568)
1705,2019,Economic Development (EDD),Cultural Arts Grantmaking,,78717,POINT (-97.765813 30.492639)
V00000954787,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Black or African American,78701,POINT (-97.741791 30.271191)
494,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
439,2019,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78739,POINT (-97.890498 30.182911)
3636,2022,Economic Development,Education & Coaching,Black or African American,78660,POINT (-97.613157 30.449905)
GCA1014250,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,78613,POINT (-97.824803 30.503628)
1912,2019,Economic Development (EDD),Cultural Arts Grantmaking,,,
21,2021,Economic Development (EDD),Education & Coaching,,78754,POINT (-97.643722 30.356927)
2479,2020,Economic Development (EDD),Small Business Education & Coaching,,,
2673,2020,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,,
IND8320165,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,White,78750,POINT (-97.800431 30.433237)
2571,2020,Economic Development (EDD),Small Business Education & Coaching,Asian,,
2995,2021,Economic Development (EDD),Education & Coaching,White,,
2779,2020,Economic Development (EDD),Small Business Education & Coaching,,,
252,2021,Economic Development (EDD),Education & Coaching,Black or African American,78753,POINT (-97.675352 30.378511)
261,2020,Economic Development (EDD),Cultural Arts Grantmaking,,,
1648,2021,Economic Development (EDD),Public Art & Placemaking,,,
1789,2020,Economic Development (EDD),Small Business Education & Coaching,Hispanic or Latino,78728,POINT (-97.682765 30.450836)
V00000969820,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,African American,78665,POINT (-97.643704 30.542117)
624,2020,Economic Development (EDD),Music & Entertainment Business Development,,,
2189,2019,Economic Development (EDD),Music & Entertainment Business Development,,,
1242,2019,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78721,POINT (-97.683892 30.270568)
V00000913751,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,75011,POINT (-96.889788 32.975541)
1794,2021,Economic Development (EDD),Education & Coaching,White,78758,POINT (-97.706726 30.384311)
179,2019,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78758,POINT (-97.706726 30.384311)
900,2019,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78613,POINT (-97.824803 30.503628)
656,2020,Economic Development (EDD),Music & Entertainment Business Development,,,
2158,2021,Economic Development (EDD),Industry Sector Development,Black or African American,78701,POINT (-97.741791 30.271191)
4204,2022,Economic Development,Education & Coaching,White,78735,POINT (-97.858036 30.256502)
1862,2019,Economic Development (EDD),Cultural Arts Grantmaking,,78683,POINT (-97.678805 30.508556)
1176,2019,Economic Development (EDD),Small Business Education & Coaching,,78731,POINT (-97.765626 30.345658)
V00000963680,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,78610,POINT (-97.818541 30.079155)
2005,2021,Economic Development (EDD),Education & Coaching,Asian,78728,POINT (-97.682765 30.450836)
2879,2020,Economic Development (EDD),Small Business Education & Coaching,,,
1693,2020,Economic Development (EDD),Small Business Education & Coaching,,,
V00000956456,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic or Latino,78640,POINT (-97.839938 29.996884)
910,2019,Economic Development (EDD),Small Business Education & Coaching,White,78723,POINT (-97.686715 30.30723)
V00000914457,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78232,POINT (-98.472019 29.587895)
MAG7154875,2022,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Hispanic,75013,POINT (-96.694838 33.113313)
2939,2020,Economic Development (EDD),Small Business Education & Coaching,Black or African American,78660,POINT (-97.613157 30.449905)
1980,2019,Economic Development (EDD),Business Development,,,
2654,2020,Economic Development (EDD),Small Business Education & Coaching,,,
1970,2019,Economic Development (EDD),Business Development,,78759,POINT (-97.753727 30.40316)
2656,2020,Economic Development (EDD),Small Business Education & Coaching,White,78752,POINT (-97.703051 30.332223)
2787,2020,Economic Development (EDD),Small Business Education & Coaching,Asian,,
526,2020,Economic Development (EDD),Historic Preservation Fund Grants,,,
1094,2020,Economic Development (EDD),Small Business Education & Coaching,,,
4290,2022,Economic Development,Education & Coaching,Hispanic or Latino,75208,POINT (-96.839446 32.752486)
3695,2022,Economic Development,Education & Coaching,Hispanic or Latino,78727,POINT (-97.713462 30.426879)
V00000936492,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Black or African American,78660,POINT (-97.613157 30.449905)
2386,2021,Economic Development (EDD),Education & Coaching,,78741,POINT (-97.716971 30.227985)
2480,2020,Economic Development (EDD),Education & Coaching,,,
1519,2021,Economic Development (EDD),Education & Coaching,,,
V00000929802,2020,Small & Minority Business Resources (SMBR),M/W/DBE Certification,Asian,78703,POINT (-97.763975 30.291285)
